This is a non-optimized list of packages needed to compile and run
Astrometry.net under Cygwin. Many of the packages are automatically installed
dependencies of the necessary packages.

For more instructions see this blog-post:

http://www.carpephoton.com/index.php?option=com_content&view=article&id=16:compiling-astrometrynet-under-cygwin&catid=6:tech&Itemid=13

and the astrometry.net discussion forums for up-to-date information on newer
versions.

$ cygcheck -c
Cygwin Package Information
Package                        Version             Status
libgpg-error-devel             1.7-1               OK
libgpg-error0                  1.7-1               OK
libgs8                         8.63-2              OK
libgsf                         1.14.18-1           OK
libgsf1-devel                  1.14.18-1           OK
libgsf1_114                    1.14.18-1           OK
libgtk1.2-devel                1.2.10-10           OK
libgtk1.2_0                    1.2.10-10           OK
libgtk2.0-devel                2.20.1-1            OK
libgtk2.0_0                    2.20.1-1            OK
libgtkhtml2                    2.11.1-10           OK
libgtkhtml2-devel              2.11.1-10           OK
libgtkhtml2_0                  2.11.1-10           OK
libICE-devel                   1.0.6-1             OK
libICE6                        1.0.6-1             OK
libiconv                       1.13.1-1            OK
libiconv2                      1.13.1-1            OK
libIDL2-devel                  0.8.14-1            OK
libIDL2_0                      0.8.14-1            OK
libImlib-devel                 1.9.15-11           OK
libImlib1                      1.9.15-11           OK
libintl3                       0.14.5-1            OK
libintl8                       0.17-11             OK
libjasper1                     1.900.1-11          OK
libjbig-devel                  2.0-11              OK
libjbig2                       2.0-11              OK
libjpeg-devel                  8b-1                OK
libjpeg62                      6b-21               OK
libjpeg6b                      6b-8                OK
libjpeg7                       7-10                OK
libjpeg8                       8b-1                OK
liblapack0                     3.2.2-1             OK
liblzma1                       4.999.9beta-11      OK
liblzo2-devel                  2.03-10             OK
liblzo2_2                      2.03-10             OK
libncurses-devel               5.7-18              OK
libncurses10                   5.7-18              OK
libncurses8                    5.5-10              OK
libncurses9                    5.7-16              OK
libncursesw10                  5.7-18              OK
libnetpbm-devel                10.49.2-1           OK
libnetpbm10                    10.49.2-1           OK
libopenldap2_3_0               2.3.43-1            OK
libopenssl098                  0.9.8o-2            OK
libORBit2-devel                2.14.18-1           OK
libORBit2_0                    2.14.18-1           OK
libpango1.0-devel              1.28.1-1            OK
libpango1.0_0                  1.28.1-1            OK
libpcre-devel                  8.02-1              OK
libpcre0                       8.02-1              OK
libpixman1-devel               0.18.2-1            OK
libpixman1_0                   0.18.2-1            OK
libpng                         1.4.3-2             OK
libpng12                       1.2.44-1            OK
libpng12-devel                 1.2.44-1            OK
libpng14                       1.4.3-2             OK
libpng14-devel                 1.4.3-2             OK
libpopt0                       1.6.4-4             OK
libproxy-devel                 0.4.0-1             OK
libproxy1                      0.4.0-1             OK
libpthread-stubs               0.2-1               OK
libreadline7                   6.0.3-2             OK
librsvg2-devel                 2.26.3-1            OK
librsvg2_2                     2.26.3-1            OK
libsasl2                       2.1.23-1            OK
libsigsegv2                    2.8-1               OK
libSM-devel                    1.1.1-2             OK
libSM6                         1.1.1-2             OK
libsoup-gnome2.4-devel         2.30.2-1            OK
libsoup-gnome2.4_1             2.30.2-1            OK
libsoup2.4-devel               2.30.2-1            OK
libsoup2.4_1                   2.30.2-1            OK
libsqlite3-devel               3.6.21-3            OK
libsqlite3_0                   3.6.21-3            OK
libssp0                        4.3.4-3             OK
libstartup-notification1-devel 0.10-1              OK
libstartup-notification1_0     0.10-1              OK
libstdc++6                     4.3.4-3             OK
libstdc++6-devel               4.3.4-3             OK
libtasn1-devel                 2.6-1               OK
libtasn1_3                     2.6-1               OK
libtiff-devel                  3.9.2-1             OK
libtiff5                       3.9.2-1             OK
